mt20id,prfnm,prfpdfrom,prfpdto,시설명,총객석수,시(도),구(군),주소
PF256935,특전소녀전선 썸머리그,2024.09.29,2024.09.29,예스24 원더로크홀,360,서울,서대문구,서울특별시 서대문구 신촌로 129 (창천동)
PF256933,Live & Music Festival,2024.07.13,2024.07.13,예스24 라이브홀 (구. 악스코리아),1051,서울,광진구,서울특별시 광진구 구천면로 20 (광장동)
PF256932,특전소녀전선 스프링리그,2024.04.04,2024.05.19,예스24 원더로크홀,360,서울,서대문구,서울특별시 서대문구 신촌로 129 (창천동)
PF256929,K-WORLD DREAM AWARDS,2024.08.22,2024.08.22,잠실종합운동장,81813,서울,송파구,서울특별시 송파구 올림픽로 25 (잠실동)
PF256928,종로 인 재즈 페스티벌,2024.08.30,2024.09.01,스케치홀 (구.소극장 선물 1관),20,서울,종로구,서울특별시 종로구 동숭길 145 (동숭동)
PF256924,"ZUTOMAYO INTENSE IN SEOUL, KOREA",2024.06.15,2024.06.16,예스24 라이브홀 (구. 악스코리아),1051,서울,광진구,서울특별시 광진구 구천면로 20 (광장동)
PF256914,KARDI 단독 콘서트: Are you ready to fly? [서울],2024.05.25,2024.05.25,예스24 원더로크홀,360,서울,서대문구,서울특별시 서대문구 신촌로 129 (창천동)
PF256913,dori first concert: CINEMA,2024.04.20,2024.04.20,예스24 원더로크홀,360,서울,서대문구,서울특별시 서대문구 신촌로 129 (창천동)
PF256911,DAZBEE Live In Seoul: sincerely,2024.09.28,2024.09.28,예스24 원더로크홀,360,서울,서대문구,서울특별시 서대문구 신촌로 129 (창천동)
PF256909,SHARING & TOGETHER CONCERT,2024.01.13,2024.01.13,올림픽공원,41376,서울,송파구,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
PF256908,BAEKHO & BIGONE CONCERT: 우리樂,2024.05.18,2024.05.18,예스24 원더로크홀,360,서울,서대문구,서울특별시 서대문구 신촌로 129 (창천동)
PF256906,MARK TUAN ASIA TOUR: The Other Side [서울],2024.01.27,2024.01.27,건국대학교 새천년관,805,서울,광진구,서울특별시 광진구 능동로 120 (화양동) 건국대학교
PF256905,ㅈㅂㅈ평일소공연 (5월),2024.05.08,2024.05.30,예스24 원더로크홀,360,서울,서대문구,서울특별시 서대문구 신촌로 129 (창천동)
PF256904,QWER Mini 1집 쇼케이스,2024.04.01,2024.04.01,예스24 원더로크홀,360,서울,서대문구,서울특별시 서대문구 신촌로 129 (창천동)
PF256902,FLOW x LUCKLIFE 내한공연: CONNECT in Korea,2024.03.30,2024.03.30,예스24 원더로크홀,360,서울,서대문구,서울특별시 서대문구 신촌로 129 (창천동)
