mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,poster,area,genrenm,openrun,prfstate
PF242343,LOUD BRIDGE Vol.7,2024.07.20,2024.07.20,롤링홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242343_240605_103018.gif,,대중음악,N,공연완료
PF242342,"DJ Soulscape Curated 24, 지셀 (Jiselle) : Therapy Session",2024.06.23,2024.06.23,현대카드 언더스테이지,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242342_240605_102941.gif,,대중음악,N,공연완료
PF242339,크리스피 단독 콘서트: Teenage Dirtbag,2024.06.29,2024.06.29,KT&G 상상마당 라이브홀 [마포],http://www.kopis.or.kr/upload/pfmPoster/PF_PF242339_240605_102353.jpg,,대중음악,N,공연완료
PF242329,"박준하 단독 콘서트, 한여름 밤의 꿈",2024.06.29,2024.06.29,구름아래소극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242329_240605_100041.jpg,,대중음악,N,공연완료
PF242324,공중그늘 단독 콘서트: Fresh Start,2024.07.04,2024.07.04,롤링홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242324_240605_095137.jpg,,대중음악,N,공연완료
PF242320,유로댄스 뮤직 콘서트 2nd: 원스 어게인,2024.06.29,2024.06.29,한국콘텐츠진흥원 CKL스테이지,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242320_240605_094623.gif,,대중음악,N,공연완료
PF242288,THE BOYZ WORLD TOUR: ZENERATION Ⅱ,2024.07.12,2024.07.14,올림픽공원,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242288_240604_103714.jpg,,대중음악,N,공연완료
PF242252,싱어게인3 TOP10 전국투어 [서울 (앵콜) ],2024.08.10,2024.08.10,올림픽공원,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242252_240603_153015.gif,,대중음악,N,공연완료
PF242246,"NEW MOON, TCNZ LUNA LAST LIVE",2024.06.29,2024.06.29,긱라이브하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242246_240603_145030.png,,대중음악,N,공연완료
PF242243,PEACH PARTY!! 06,2024.06.22,2024.06.22,아로아로홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242243_240603_143357.png,,대중음악,N,공연완료
PF242242,나상현씨밴드 클럽투어: 여름빛 [서울],2024.07.20,2024.07.21,무신사 개러지 (구. 왓챠홀),http://www.kopis.or.kr/upload/pfmPoster/PF_PF242242_240603_143357.gif,,대중음악,N,공연완료
PF242236,"CRASH INTO THE MOON Ep1: 오왠, 홈존, 정수민",2024.06.15,2024.06.16,클럽온에어,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242236_240603_141304.jpg,,대중음악,N,공연완료
PF242228,"ALL DAY, JAZZ SHOW!",2024.06.30,2024.06.30,이들스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242228_240603_134309.png,,대중음악,N,공연완료
PF242175,썸머 인디락 페스티벌,2024.06.22,2024.06.22,콜링아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242175_240603_102713.jpg,,대중음악,N,공연완료
PF242159,"샹송제이 X 네드달링턴, Acoustic Chanson",2024.06.20,2024.06.20,스트레인지 프룻,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242159_240603_095107.jpg,,대중음악,N,공연완료
PF242158,블랙홀 LIVE,2024.06.22,2024.06.22,엠팟홀 (구. 삼익아트홀),http://www.kopis.or.kr/upload/pfmPoster/PF_PF242158_240603_094800.gif,,대중음악,N,공연완료
PF242147,"재즈속으로 떠나는 여름힐링 음악 여행, Summer Jazzbreak",2024.08.31,2024.08.31,구로아트밸리,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242147_240531_132929.gif,,대중음악,N,공연완료
PF242142,"로맨틱파티 104번째, RP Fest",2024.06.15,2024.06.15,웨스트브릿지 라이브홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242142_240531_124739.png,,대중음악,N,공연완료
PF242141,"78AVENUE 78LIVE, 톡식 (TOXIC)",2024.06.27,2024.06.27,엠피엠지,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242141_240531_123357.gif,,대중음악,N,공연완료
PF242139,수상한스테이지 (6.7),2024.06.07,2024.06.07,수상한창고,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242139_240531_120914.png,,대중음악,N,공연완료
PF242126,"토리 켈리 내한공연, PURPLE SKIES Asia Tour: with special guest Maisy Kay",2024.08.27,2024.08.27,명화라이브홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242126_240531_112634.gif,,대중음악,N,공연완료
PF242119,인디 고 그린,2024.06.28,2024.06.28,강북문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242119_240531_110732.gif,,대중음악,N,공연완료
PF242108,"먼데이프로젝트 시즌7, W24 EP앨범 발매 쇼케이스: MMM",2024.06.20,2024.06.20,벨로주 [홍대] (구. 왓에버),http://www.kopis.or.kr/upload/pfmPoster/PF_PF242108_240531_104218.jpg,,대중음악,N,공연완료
PF242100,"제3회 레트로 라이브, 만화영화 주제가 대잔치",2024.06.22,2024.06.22,대원 팝콘D 스퀘어,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242100_240531_102611.jpg,,대중음악,N,공연완료
PF242087,iTO BiRTHDAY LiVE: BLACKOUT,2024.07.07,2024.07.07,"플렉스라운지 (구. 스테이라운지, 구. 인디팍)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242087_240531_095305.jpeg,,대중음악,N,공연완료
PF242054,"윤성 단독 콘서트, 미소",2024.06.18,2024.08.27,JTN 아트홀(구. 대학로예술마당),http://www.kopis.or.kr/upload/pfmPoster/PF_PF242054_240530_133623.gif,,대중음악,N,공연완료
PF242048,"한로로 2nd EP 발매기념 단독콘서트, 집",2024.06.22,2024.06.23,노들섬,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242048_240530_130715.jfif,,대중음악,N,공연완료
PF242036,"Rest In Peace, Zior Park: Dia de Muertos",2024.06.15,2024.06.16,LG아트센터 서울,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242036_240530_114743.jpg,,대중음악,N,공연완료
PF242024,AFGAN 아프간 첫 내한공연 [서울],2024.06.29,2024.06.29,ASSA 아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242024_240530_112149.png,,대중음악,N,공연완료
PF242023,"싱어송라이터 은송 단독 공연, Over the Rainbow",2024.06.29,2024.06.29,살롱 문보우,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242023_240530_111846.jpg,,대중음악,N,공연완료
